ElapsedTime,SOC,BatteryVoltage,InSun
1920.00,0.9778,25.1468,1
1930.00,0.9810,25.1543,1
1940.00,0.9841,25.1618,1
1950.00,0.9872,25.1693,1
1960.00,0.9903,25.1767,1
1970.00,0.9934,25.1841,1
1980.00,0.9964,25.1914,1
1990.00,0.9995,25.1987,1
2000.00,1.0000,25.2000,1
2010.00,1.0000,25.2000,1
2020.00,1.0000,25.2000,1
2030.00,1.0000,25.2000,1
2040.00,1.0000,25.2000,1
2050.00,1.0000,25.2000,1
2060.00,1.0000,25.2000,1
2070.00,1.0000,25.2000,1
2080.00,1.0000,25.2000,1
2090.00,1.0000,25.2000,1
2100.00,1.0000,25.2000,1
2110.00,1.0000,25.2000,1
2120.00,1.0000,25.2000,1
2130.00,1.0000,25.2000,1
2140.00,1.0000,25.2000,1
2150.00,1.0000,25.2000,1
2160.00,1.0000,25.2000,1
2170.00,1.0000,25.2000,1
2180.00,1.0000,25.2000,1
2190.00,1.0000,25.2000,1
2200.00,1.0000,25.2000,1
2210.00,1.0000,25.2000,1
2220.00,1.0000,25.2000,1
2230.00,1.0000,25.2000,1
2240.00,1.0000,25.2000,1
2250.00,1.0000,25.2000,1
2260.00,1.0000,25.2000,1
2270.00,1.0000,25.2000,1
2280.00,1.0000,25.2000,1
2290.00,1.0000,25.2000,1
2300.00,1.0000,25.2000,1
2310.00,1.0000,25.2000,1
2320.00,1.0000,25.2000,1
2330.00,1.0000,25.2000,1
2340.00,1.0000,25.2000,1
2350.00,1.0000,25.2000,1
2360.00,1.0000,25.2000,1
2370.00,1.0000,25.2000,1
2380.00,1.0000,25.2000,1
2390.00,1.0000,25.2000,1
2400.00,1.0000,25.2000,1
2410.00,1.0000,25.2000,1
2420.00,1.0000,25.2000,1
2430.00,1.0000,25.2000,1
2440.00,1.0000,25.2000,1
2450.00,1.0000,25.2000,1
2460.00,1.0000,25.2000,1
2470.00,1.0000,25.2000,1
2480.00,1.0000,25.2000,1
2490.00,1.0000,25.2000,1
2500.00,1.0000,25.2000,1
2510.00,1.0000,25.2000,1
2520.00,1.0000,25.2000,1
2530.00,1.0000,25.2000,1
2540.00,1.0000,25.2000,1
2550.00,1.0000,25.2000,1
2560.00,1.0000,25.2000,1
2570.00,1.0000,25.2000,1
2580.00,1.0000,25.2000,1
2590.00,1.0000,25.2000,1
2600.00,1.0000,25.2000,1
2610.00,1.0000,25.2000,1
2620.00,1.0000,25.2000,1
2630.00,1.0000,25.2000,1
2640.00,1.0000,25.2000,1
2650.00,1.0000,25.2000,1
2660.00,1.0000,25.2000,1
2670.00,1.0000,25.2000,1
2680.00,1.0000,25.2000,1
2690.00,1.0000,25.2000,1
2700.00,1.0000,25.2000,1
2710.00,1.0000,25.2000,1
2720.00,1.0000,25.2000,1
2730.00,1.0000,25.2000,1
2740.00,1.0000,25.2000,1
2750.00,1.0000,25.2000,1
2760.00,1.0000,25.2000,1
2770.00,1.0000,25.2000,1
2780.00,1.0000,25.2000,1
2790.00,1.0000,25.2000,1
2800.00,1.0000,25.2000,1
2810.00,1.0000,25.2000,1
2820.00,1.0000,25.2000,1
2830.00,1.0000,25.2000,1
2840.00,1.0000,25.2000,1
2850.00,1.0000,25.2000,1
2860.00,1.0000,25.2000,1
2870.00,1.0000,25.2000,1
2880.00,1.0000,25.2000,1
2890.00,1.0000,25.2000,1
2900.00,1.0000,25.2000,1
2910.00,1.0000,25.2000,1
2920.00,1.0000,25.2000,1
2930.00,1.0000,25.2000,1
2940.00,1.0000,25.2000,1
