ElapsedTime,BatteryVoltage,SOC,InSun
1910.00,23.09,0.12,1
1920.00,23.09,0.12,1
1930.00,23.09,0.12,1
1940.00,23.09,0.12,1
1950.00,23.09,0.12,1
1960.00,23.09,0.12,1
1970.00,23.09,0.12,1
1980.00,23.08,0.12,1
1990.00,23.08,0.12,1
2000.00,23.08,0.12,1
2010.00,23.08,0.12,1
2020.00,23.08,0.12,1
2030.00,23.08,0.12,1
2040.00,23.08,0.12,1
2050.00,23.07,0.11,1
2060.00,23.07,0.11,1
2070.00,23.07,0.11,1
2080.00,23.07,0.11,1
2090.00,23.07,0.11,1
2100.00,23.07,0.11,1
2110.00,23.07,0.11,1
2120.00,23.07,0.11,1
2130.00,23.06,0.11,1
2140.00,23.06,0.11,1
2150.00,23.06,0.11,1
2160.00,23.06,0.11,1
2170.00,23.06,0.11,1
2180.00,23.06,0.11,1
2190.00,23.06,0.11,1
2200.00,23.05,0.11,1
2210.00,23.05,0.11,1
2220.00,23.05,0.11,1
2230.00,23.05,0.10,1
2240.00,23.05,0.10,1
2250.00,23.05,0.10,1
2260.00,23.05,0.10,1
2270.00,23.05,0.10,1
2280.00,23.05,0.10,1
2290.00,23.04,0.10,1
