ElapsedTime,SOC,BatteryVoltage,InSun
1690.00,0.2326,23.3583,1
1700.00,0.2330,23.3593,1
1710.00,0.2335,23.3604,1
1720.00,0.2339,23.3614,1
1730.00,0.2344,23.3625,1
1740.00,0.2348,23.3635,1
1750.00,0.2352,23.3646,1
1760.00,0.2357,23.3656,1
1770.00,0.2361,23.3666,1
1780.00,0.2365,23.3677,1
1790.00,0.2370,23.3687,1
1800.00,0.2374,23.3698,1
1810.00,0.2378,23.3708,1
1820.00,0.2383,23.3718,1
1830.00,0.2387,23.3728,1
1840.00,0.2391,23.3739,1
1850.00,0.2395,23.3749,1
1860.00,0.2400,23.3759,1
1870.00,0.2404,23.3769,1
1880.00,0.2408,23.3779,1
1890.00,0.2412,23.3789,1
1900.00,0.2416,23.3800,1
1910.00,0.2421,23.3809,1
1920.00,0.2425,23.3819,1
1930.00,0.2429,23.3829,1
1940.00,0.2433,23.3839,1
1950.00,0.2437,23.3849,1
1960.00,0.2441,23.3859,1
1970.00,0.2445,23.3868,1
1980.00,0.2449,23.3878,1
1990.00,0.2453,23.3888,1
2000.00,0.2457,23.3897,1
2010.00,0.2461,23.3907,1
2020.00,0.2465,23.3916,1
2030.00,0.2469,23.3925,1
2040.00,0.2473,23.3935,1
2050.00,0.2477,23.3944,1
2060.00,0.2480,23.3953,1
2070.00,0.2484,23.3962,1
2080.00,0.2488,23.3971,1
2090.00,0.2492,23.3980,1
2100.00,0.2495,23.3988,1
2110.00,0.2499,23.3997,1
2120.00,0.2502,23.4006,1
2130.00,0.2506,23.4014,1
2140.00,0.2509,23.4023,1
2150.00,0.2513,23.4031,1
2160.00,0.2516,23.4039,1
2170.00,0.2520,23.4048,1
2180.00,0.2523,23.4056,1
2190.00,0.2527,23.4064,1
2200.00,0.2530,23.4072,1
2210.00,0.2533,23.4079,1
2220.00,0.2536,23.4087,1
2230.00,0.2539,23.4095,1
2240.00,0.2542,23.4102,1
2250.00,0.2546,23.4109,1
2260.00,0.2549,23.4117,1
2270.00,0.2552,23.4124,1
2280.00,0.2554,23.4131,1
2290.00,0.2557,23.4138,1
2300.00,0.2560,23.4144,1
2310.00,0.2563,23.4151,1
2320.00,0.2566,23.4157,1
2330.00,0.2568,23.4164,1
2340.00,0.2571,23.4170,1
2350.00,0.2573,23.4176,1
2360.00,0.2576,23.4182,1
2370.00,0.2578,23.4188,1
2380.00,0.2581,23.4194,1
2390.00,0.2583,23.4199,1
2400.00,0.2585,23.4205,1
2410.00,0.2588,23.4210,1
2420.00,0.2590,23.4215,1
2430.00,0.2592,23.4220,1
2440.00,0.2594,23.4225,1
2450.00,0.2596,23.4230,1
2460.00,0.2598,23.4235,1
2470.00,0.2600,23.4239,1
2480.00,0.2601,23.4243,1
2490.00,0.2603,23.4248,1
2500.00,0.2605,23.4252,1
2510.00,0.2606,23.4255,1
2520.00,0.2608,23.4259,1
2530.00,0.2609,23.4262,1
2540.00,0.2611,23.4266,1
2550.00,0.2612,23.4269,1
2560.00,0.2613,23.4272,1
2570.00,0.2615,23.4275,1
2580.00,0.2616,23.4278,1
2590.00,0.2617,23.4280,1
2600.00,0.2618,23.4282,1
2610.00,0.2619,23.4285,1
2620.00,0.2619,23.4286,1
2630.00,0.2620,23.4288,1
2640.00,0.2621,23.4290,1
2650.00,0.2621,23.4291,1
2660.00,0.2622,23.4293,1
2670.00,0.2622,23.4294,1
2680.00,0.2623,23.4295,1
2690.00,0.2623,23.4295,1
2700.00,0.2623,23.4296,1
2710.00,0.2623,23.4296,1
2720.00,0.2624,23.4297,1
2730.00,0.2624,23.4296,1
2740.00,0.2623,23.4296,1
2750.00,0.2623,23.4296,1
2760.00,0.2623,23.4295,1
2770.00,0.2623,23.4295,1
2780.00,0.2622,23.4294,1
2790.00,0.2622,23.4292,1
2800.00,0.2621,23.4291,1
2810.00,0.2621,23.4290,1
2820.00,0.2620,23.4288,1
2830.00,0.2619,23.4286,1
2840.00,0.2618,23.4284,1
2850.00,0.2617,23.4281,1
2860.00,0.2616,23.4279,1
2870.00,0.2615,23.4276,1
2880.00,0.2614,23.4273,1
2890.00,0.2613,23.4270,1
2900.00,0.2611,23.4267,1
2910.00,0.2610,23.4263,1
2920.00,0.2608,23.4260,1
2930.00,0.2607,23.4256,1
2940.00,0.2605,23.4252,1
2950.00,0.2603,23.4247,1
2960.00,0.2601,23.4243,1
2970.00,0.2599,23.4238,1
2980.00,0.2597,23.4233,1
2990.00,0.2595,23.4228,1
3000.00,0.2593,23.4223,1
3010.00,0.2591,23.4218,1
3020.00,0.2589,23.4213,1
3030.00,0.2587,23.4208,1
3040.00,0.2585,23.4204,1
3050.00,0.2583,23.4199,1
3060.00,0.2581,23.4195,1
3070.00,0.2580,23.4191,1
3080.00,0.2578,23.4187,1
3090.00,0.2577,23.4184,1
3100.00,0.2575,23.4181,1
3110.00,0.2574,23.4178,1
3120.00,0.2573,23.4175,1
3130.00,0.2572,23.4172,1
3140.00,0.2571,23.4169,1
3150.00,0.2570,23.4167,1
3160.00,0.2569,23.4165,1
3170.00,0.2568,23.4163,1
3180.00,0.2567,23.4161,1
3190.00,0.2567,23.4160,1
3200.00,0.2566,23.4158,1
3210.00,0.2566,23.4157,1
3220.00,0.2565,23.4156,1
3230.00,0.2565,23.4156,1
3240.00,0.2565,23.4155,1
3250.00,0.2564,23.4155,1
3260.00,0.2564,23.4154,1
3270.00,0.2564,23.4154,1
3280.00,0.2564,23.4155,1
3290.00,0.2565,23.4155,1
3300.00,0.2565,23.4156,1
3310.00,0.2565,23.4156,1
3320.00,0.2565,23.4157,1
3330.00,0.2566,23.4158,1
3340.00,0.2566,23.4160,1
3350.00,0.2567,23.4161,1
3360.00,0.2568,23.4163,1
3370.00,0.2569,23.4164,1
3380.00,0.2569,23.4166,1
3390.00,0.2570,23.4169,1
3400.00,0.2571,23.4171,1
3410.00,0.2572,23.4173,1
3420.00,0.2573,23.4176,1
3430.00,0.2575,23.4179,1
3440.00,0.2576,23.4182,1
3450.00,0.2577,23.4185,1
3460.00,0.2579,23.4188,1
3470.00,0.2580,23.4192,1
3480.00,0.2581,23.4196,1
3490.00,0.2583,23.4199,1
3500.00,0.2585,23.4203,1
3510.00,0.2586,23.4208,1
3520.00,0.2588,23.4212,1
3530.00,0.2590,23.4216,1
3540.00,0.2592,23.4221,1
3550.00,0.2594,23.4226,1
3560.00,0.2596,23.4230,1
3570.00,0.2598,23.4235,1
3580.00,0.2600,23.4241,1
3590.00,0.2602,23.4246,1
3600.00,0.2605,23.4251,1
3610.00,0.2607,23.4257,1
3620.00,0.2609,23.4263,1
3630.00,0.2612,23.4269,1
3640.00,0.2614,23.4275,1
3650.00,0.2617,23.4281,1
3660.00,0.2620,23.4287,1
3670.00,0.2622,23.4293,1
3680.00,0.2625,23.4300,1
3690.00,0.2628,23.4307,1
3700.00,0.2631,23.4313,1
3710.00,0.2633,23.4320,1
3720.00,0.2636,23.4327,1
3730.00,0.2639,23.4334,1
3740.00,0.2642,23.4342,1
3750.00,0.2645,23.4349,1
3760.00,0.2648,23.4356,1
3770.00,0.2652,23.4364,1
3780.00,0.2655,23.4372,1
3790.00,0.2658,23.4379,1
3800.00,0.2661,23.4387,1
3810.00,0.2665,23.4395,1
3820.00,0.2668,23.4403,1
3830.00,0.2671,23.4411,1
3840.00,0.2675,23.4420,1
3850.00,0.2678,23.4428,1
3860.00,0.2682,23.4437,1
3870.00,0.2685,23.4445,1
3880.00,0.2689,23.4454,1
3890.00,0.2693,23.4462,1
3900.00,0.2696,23.4471,1
3910.00,0.2700,23.4480,1
3920.00,0.2704,23.4489,1
