ElapsedTime,SOC,BatteryVoltage,InSun
1920.00,0.7535,24.6084,1
1930.00,0.7552,24.6125,1
1940.00,0.7567,24.6161,1
1950.00,0.7586,24.6207,1
1960.00,0.7610,24.6264,1
1970.00,0.7640,24.6335,1
1980.00,0.7674,24.6418,1
1990.00,0.7712,24.6509,1
2000.00,0.7750,24.6600,1
2010.00,0.7788,24.6691,1
2020.00,0.7826,24.6783,1
2030.00,0.7865,24.6876,1
2040.00,0.7904,24.6970,1
2050.00,0.7944,24.7066,1
2060.00,0.7985,24.7165,1
2070.00,0.8027,24.7266,1
2080.00,0.8070,24.7369,1
2090.00,0.8115,24.7475,1
2100.00,0.8160,24.7583,1
2110.00,0.8205,24.7693,1
2120.00,0.8251,24.7803,1
2130.00,0.8295,24.7908,1
2140.00,0.8331,24.7996,1
2150.00,0.8360,24.8063,1
2160.00,0.8379,24.8109,1
2170.00,0.8390,24.8136,1
2180.00,0.8395,24.8147,1
2190.00,0.8400,24.8160,1
2200.00,0.8407,24.8176,1
2210.00,0.8415,24.8197,1
2220.00,0.8429,24.8229,1
2230.00,0.8446,24.8270,1
2240.00,0.8467,24.8320,1
2250.00,0.8490,24.8375,1
2260.00,0.8514,24.8434,1
2270.00,0.8540,24.8495,1
2280.00,0.8565,24.8557,1
2290.00,0.8592,24.8621,1
2300.00,0.8619,24.8687,1
2310.00,0.8648,24.8755,1
2320.00,0.8676,24.8822,1
2330.00,0.8703,24.8887,1
2340.00,0.8728,24.8946,1
2350.00,0.8748,24.8996,1
2360.00,0.8764,24.9033,1
2370.00,0.8773,24.9056,1
2380.00,0.8780,24.9071,1
2390.00,0.8788,24.9091,1
2400.00,0.8800,24.9121,1
2410.00,0.8816,24.9159,1
2420.00,0.8835,24.9204,1
2430.00,0.8856,24.9256,1
2440.00,0.8882,24.9316,1
2450.00,0.8910,24.9385,1
2460.00,0.8940,24.9457,1
2470.00,0.8972,24.9532,1
2480.00,0.9004,24.9609,1
2490.00,0.9037,24.9688,1
2500.00,0.9070,24.9769,1
2510.00,0.9106,24.9855,1
2520.00,0.9144,24.9945,1
2530.00,0.9183,25.0039,1
2540.00,0.9223,25.0135,1
2550.00,0.9261,25.0226,1
2560.00,0.9294,25.0305,1
2570.00,0.9321,25.0371,1
2580.00,0.9344,25.0427,1
2590.00,0.9366,25.0478,1
2600.00,0.9386,25.0526,1
2610.00,0.9404,25.0569,1
2620.00,0.9422,25.0614,1
2630.00,0.9442,25.0662,1
2640.00,0.9464,25.0714,1
2650.00,0.9491,25.0778,1
2660.00,0.9520,25.0849,1
2670.00,0.9550,25.0921,1
2680.00,0.9581,25.0994,1
2690.00,0.9612,25.1069,1
2700.00,0.9643,25.1143,1
2710.00,0.9675,25.1219,1
2720.00,0.9706,25.1295,1
2730.00,0.9739,25.1373,1
2740.00,0.9772,25.1452,1
2750.00,0.9806,25.1533,1
2760.00,0.9840,25.1616,1
2770.00,0.9875,25.1699,1
2780.00,0.9910,25.1784,1
2790.00,0.9945,25.1868,1
2800.00,0.9977,25.1944,1
2810.00,1.0000,25.2000,1
2820.00,1.0000,25.2000,1
2830.00,1.0000,25.2000,1
2840.00,1.0000,25.2000,1
2850.00,1.0000,25.2000,1
2860.00,1.0000,25.2000,1
2870.00,1.0000,25.2000,1
2880.00,1.0000,25.2000,1
2890.00,1.0000,25.2000,1
2900.00,1.0000,25.2000,1
2910.00,1.0000,25.2000,1
2920.00,1.0000,25.2000,1
2930.00,1.0000,25.2000,1
2940.00,1.0000,25.2000,1
2950.00,1.0000,25.2000,1
2960.00,1.0000,25.2000,1
2970.00,1.0000,25.2000,1
2980.00,1.0000,25.2000,1
2990.00,1.0000,25.2000,1
3000.00,1.0000,25.2000,1
3010.00,1.0000,25.2000,1
3020.00,1.0000,25.2000,1
3030.00,1.0000,25.2000,1
3040.00,1.0000,25.2000,1
3050.00,1.0000,25.2000,1
3060.00,1.0000,25.2000,1
3070.00,1.0000,25.2000,1
3080.00,1.0000,25.2000,1
3090.00,1.0000,25.2000,1
3100.00,1.0000,25.2000,1
3110.00,1.0000,25.2000,1
3120.00,1.0000,25.2000,1
3130.00,1.0000,25.2000,1
3140.00,1.0000,25.2000,1
3150.00,1.0000,25.2000,1
3160.00,1.0000,25.2000,1
3170.00,1.0000,25.2000,1
3180.00,1.0000,25.2000,1
3190.00,1.0000,25.2000,1
3200.00,1.0000,25.2000,1
3210.00,1.0000,25.2000,1
3220.00,1.0000,25.2000,1
3230.00,1.0000,25.2000,1
3240.00,1.0000,25.2000,1
3250.00,1.0000,25.2000,1
3260.00,1.0000,25.2000,1
3270.00,1.0000,25.2000,1
3280.00,1.0000,25.2000,1
3290.00,1.0000,25.2000,1
3300.00,1.0000,25.2000,1
3310.00,1.0000,25.2000,1
3320.00,1.0000,25.2000,1
3330.00,1.0000,25.2000,1
3340.00,1.0000,25.2000,1
3350.00,1.0000,25.2000,1
3360.00,1.0000,25.2000,1
3370.00,1.0000,25.2000,1
3380.00,1.0000,25.2000,1
3390.00,1.0000,25.2000,1
3400.00,1.0000,25.2000,1
3410.00,1.0000,25.2000,1
3420.00,1.0000,25.2000,1
3430.00,1.0000,25.2000,1
3440.00,1.0000,25.2000,1
3450.00,1.0000,25.2000,1
