ElapsedTime,SOC,BatteryVoltage,InSun
1920.00,0.6998,24.4796,1
1930.00,0.7026,24.4863,1
1940.00,0.7054,24.4930,1
1950.00,0.7082,24.4997,1
1960.00,0.7110,24.5064,1
1970.00,0.7138,24.5132,1
1980.00,0.7166,24.5199,1
1990.00,0.7195,24.5267,1
2000.00,0.7223,24.5336,1
2010.00,0.7252,24.5404,1
2020.00,0.7280,24.5473,1
2030.00,0.7309,24.5541,1
2040.00,0.7338,24.5610,1
2050.00,0.7366,24.5680,1
2060.00,0.7395,24.5749,1
2070.00,0.7424,24.5818,1
2080.00,0.7453,24.5888,1
2090.00,0.7482,24.5958,1
2100.00,0.7511,24.6028,1
2110.00,0.7541,24.6098,1
2120.00,0.7570,24.6168,1
2130.00,0.7599,24.6238,1
2140.00,0.7628,24.6308,1
2150.00,0.7658,24.6379,1
2160.00,0.7687,24.6449,1
2170.00,0.7717,24.6520,1
2180.00,0.7746,24.6590,1
2190.00,0.7775,24.6661,1
2200.00,0.7805,24.6732,1
2210.00,0.7834,24.6802,1
2220.00,0.7864,24.6873,1
2230.00,0.7893,24.6944,1
2240.00,0.7923,24.7015,1
2250.00,0.7952,24.7086,1
2260.00,0.7982,24.7156,1
2270.00,0.8011,24.7227,1
2280.00,0.8041,24.7298,1
2290.00,0.8070,24.7369,1
2300.00,0.8100,24.7439,1
2310.00,0.8129,24.7510,1
2320.00,0.8159,24.7581,1
2330.00,0.8188,24.7651,1
2340.00,0.8217,24.7722,1
2350.00,0.8247,24.7792,1
2360.00,0.8276,24.7862,1
2370.00,0.8305,24.7933,1
2380.00,0.8334,24.8003,1
2390.00,0.8364,24.8073,1
2400.00,0.8393,24.8143,1
2410.00,0.8422,24.8212,1
2420.00,0.8451,24.8282,1
2430.00,0.8480,24.8351,1
2440.00,0.8509,24.8421,1
2450.00,0.8537,24.8490,1
2460.00,0.8566,24.8559,1
2470.00,0.8595,24.8628,1
2480.00,0.8623,24.8696,1
2490.00,0.8652,24.8765,1
2500.00,0.8680,24.8833,1
2510.00,0.8709,24.8901,1
2520.00,0.8737,24.8969,1
2530.00,0.8765,24.9036,1
2540.00,0.8793,24.9104,1
2550.00,0.8821,24.9171,1
2560.00,0.8849,24.9238,1
2570.00,0.8877,24.9304,1
2580.00,0.8904,24.9370,1
2590.00,0.8932,24.9436,1
2600.00,0.8959,24.9502,1
2610.00,0.8987,24.9568,1
2620.00,0.9014,24.9633,1
2630.00,0.9041,24.9698,1
2640.00,0.9068,24.9762,1
2650.00,0.9094,24.9827,1
